start_frame,end_frame,class
3314,3323,Jab
3324,3329,Jab
3330,3343,Cross
3344,3352,Jab
3353,3359,Jab
3360,3372,Cross
3373,3380,Jab
3381,3388,Jab
3389,3398,Cross
3401,3411,Jab
3412,3416,Jab
3417,3428,Cross
3431,3440,Jab
3441,3446,Jab
3447,3459,Cross
3461,3468,Jab
3469,3475,Jab
3476,3486,Cross
3489,3499,Jab
3500,3505,Jab
3506,3519,Cross
3520,3528,Jab
3529,3535,Jab
3536,3546,Cross
3548,3557,Jab
3558,3564,Jab
3565,3574,Cross
3577,3586,Jab
3587,3593,Jab
3594,3604,Cross
3606,3615,Jab
3616,3622,Jab
3623,3633,Cross
3635,3644,Jab
3645,3651,Jab
3652,3662,Cross
3664,3672,Jab
3673,3680,Jab
3681,3692,Cross
3693,3702,Jab
3703,3709,Jab
3710,3721,Cross
3722,3730,Jab
3731,3739,Jab
3740,3748,Cross
3749,3760,Jab
3761,3768,Jab
3769,3775,Cross
3777,3788,Jab
3789,3797,Jab
3798,3806,Cross
3807,3818,Jab
3819,3825,Jab
3826,3834,Cross
3837,3849,Jab
3850,3856,Jab
3857,3866,Cross
3868,3879,Jab
3880,3886,Jab
3887,3897,Cross
3899,3910,Jab
3911,3917,Jab
3918,3927,Cross
3930,3940,Jab
3941,3946,Jab
3947,3956,Cross
3959,3969,Jab
3970,3975,Jab
3976,3986,Cross
3989,3998,Jab
3999,4005,Jab
4006,4015,Cross
4018,4029,Jab
4030,4035,Jab
4036,4048,Cross
4049,4058,Jab
4059,4064,Jab
4065,4078,Cross
4079,4089,Jab
4090,4095,Jab
4096,4106,Cross
4107,4117,Jab
4118,4124,Jab
4125,4135,Cross
4138,4146,Jab
4147,4152,Jab
4153,4165,Cross
4167,4177,Jab
4178,4184,Jab
4185,4196,Cross
4198,4208,Jab
4209,4215,Jab
4216,4228,Cross
4229,4239,Jab
4240,4245,Jab
4246,4259,Cross
4260,4269,Jab
4270,4276,Jab
4277,4288,Cross
4289,4299,Jab
4300,4306,Jab
4307,4317,Cross
4319,4328,Jab
4329,4335,Jab
4336,4348,Cross
4349,4358,Jab
4359,4365,Jab
4367,4376,Cross
4378,4388,Jab
4389,4395,Jab
4396,4408,Cross
4409,4418,Jab
4419,4425,Jab
4426,4436,Cross
4438,4448,Jab
4449,4456,Jab
4457,4468,Cross
4470,4480,Jab
4481,4487,Jab
4488,4497,Cross
4500,4509,Jab
4510,4517,Jab
4518,4527,Cross
4530,4540,Jab
4541,4546,Jab
4547,4557,Cross
4560,4569,Jab
4570,4575,Jab
4576,4587,Cross
4589,4598,Jab
4599,4605,Jab
4606,4616,Cross
4619,4629,Jab
4630,4635,Jab
4636,4648,Cross
4649,4658,Jab
4659,4666,Jab
4667,4676,Cross
4679,4689,Jab
4690,4696,Jab
4697,4706,Cross
4806,4821,Jab
4837,4855,Cross
4872,4887,Jab
4905,4921,Cross
4937,4951,Jab
4968,4986,Cross
5001,5014,Jab
5033,5050,Cross
5067,5079,Jab
5094,5117,Cross
5122,5132,Jab
5163,5184,Cross
5199,5212,Jab
5228,5251,Cross
5263,5276,Jab
5295,5317,Cross
5332,5342,Jab
5362,5379,Cross
5395,5408,Jab
5427,5445,Cross
5487,5497,Jab
5498,5503,Jab
5504,5516,Cross
5517,5527,Jab
5528,5533,Jab
5534,5544,Cross
5547,5557,Jab
5558,5562,Jab
5563,5575,Cross
5578,5588,Jab
5589,5594,Jab
5595,5605,Cross
5607,5618,Jab
5619,5625,Jab
5626,5639,Cross
5640,5650,Jab
5651,5656,Jab
5657,5670,Cross
5671,5681,Jab
5682,5686,Jab
5687,5699,Cross
5700,5710,Jab
5711,5716,Jab
5717,5727,Cross
5730,5741,Jab
5742,5747,Jab
5748,5760,Cross
5762,5771,Jab
5772,5778,Jab
5779,5791,Cross
5792,5803,Jab
5804,5810,Jab
5811,5824,Cross
5825,5834,Jab
5835,5840,Jab
5841,5854,Cross
5855,5865,Jab
5866,5871,Jab
5872,5883,Cross
5885,5895,Jab
5914,5924,Jab
5925,5935,Jab
5936,5944,Cross
5945,5955,Jab
5956,5961,Jab
