start_frame,end_frame,class
6675,6688,Jab
6689,6697,Cross
6698,6710,Lead Hook
6722,6734,Jab
6735,6745,Cross
6746,6759,Lead Hook
6772,6790,Jab
6791,6807,Cross
6808,6824,Lead Hook
7255,7263,Cross
7264,7276,Lead Hook
7287,7300,Jab
7301,7309,Cross
7310,7321,Lead Hook
7332,7344,Jab
7345,7353,Cross
7354,7365,Lead Hook
7374,7385,Jab
7386,7394,Cross
7395,7407,Lead Hook
7410,7419,Jab
7420,7431,Cross
7432,7444,Lead Hook
7450,7462,Lead Hook
7475,7492,Cross
7493,7505,Lead Hook
7506,7521,Lead Hook
7550,7559,Cross
7560,7569,Lead Hook
7574,7587,Lead Hook
7922,7932,Cross
7933,7944,Lead Hook
7947,7962,Lead Hook
7977,7985,Cross
7986,7998,Lead Hook
8000,8011,Lead Hook
8024,8035,Cross
8036,8046,Lead Hook
8051,8065,Lead Hook
8074,8083,Cross
8084,8095,Lead Hook
8096,8111,Lead Hook
8129,8144,Lead Uppercut
8145,8156,Rear Uppercut
8157,8174,Lead Hook
8180,8199,Lead Uppercut
8200,8210,Rear Uppercut
8212,8226,Lead Hook
8243,8255,Lead Uppercut
8256,8262,Rear Uppercut
8263,8274,Lead Hook
8633,8642,Lead Hook
8643,8649,Rear Uppercut
8650,8663,Lead Hook
8676,8689,Lead Uppercut
8690,8696,Rear Uppercut
8697,8709,Lead Hook
8719,8730,Lead Uppercut
8731,8737,Rear Uppercut
8738,8748,Lead Hook
8756,8766,Lead Uppercut
8767,8775,Rear Uppercut
8776,8787,Lead Hook
8795,8803,Lead Uppercut
8804,8811,Rear Uppercut
8812,8822,Lead Hook
8827,8839,Lead Uppercut
8840,8850,Rear Uppercut
8861,8874,Jab
8875,8886,Cross
8887,8896,Lead Hook
8916,8932,Jab
8933,8944,Cross
8945,8954,Lead Hook
8973,8983,Jab
8984,8991,Cross
8992,9003,Lead Hook
9371,9383,Jab
9384,9391,Cross
9392,9402,Lead Hook
9418,9428,Jab
9429,9436,Cross
9437,9448,Lead Hook
9460,9470,Jab
9471,9479,Cross
9480,9489,Lead Hook
9501,9511,Jab
9512,9523,Cross
9524,9537,Lead Hook
9543,9556,Jab
9557,9565,Cross
9579,9589,Cross
9593,9605,Lead Hook
9610,9622,Lead Hook
9644,9656,Cross
9661,9673,Lead Hook
9680,9691,Lead Hook
10156,10166,Lead Hook
10172,10183,Lead Hook
10203,10213,Cross
10218,10228,Lead Hook
10233,10244,Lead Hook
10260,10271,Cross
10272,10281,Lead Hook
10298,10306,Lead Uppercut
10307,10316,Rear Uppercut
10317,10328,Lead Hook
10340,10350,Lead Uppercut
10356,10365,Rear Uppercut
10366,10379,Lead Hook
10399,10406,Lead Uppercut
10407,10413,Rear Uppercut
10412,10422,Lead Hook
10433,10440,Lead Uppercut
10441,10447,Rear Uppercut
10448,10456,Lead Hook
10469,10476,Lead Uppercut
10477,10484,Rear Uppercut
10485,10495,Lead Hook
10933,10940,Lead Uppercut
10941,10948,Rear Uppercut
10949,10959,Lead Hook
10965,10975,Lead Uppercut
