start_frame,end_frame,class
157,171,Lead Uppercut
311,320,Lead Uppercut
348,356,Lead Uppercut
391,402,Lead Hook
402,415,Rear Hook
486,496,Lead Hook
541,549,Rear Uppercut
566,576,Lead Uppercut
5283,5301,Lead Hook
5377,5391,Lead Hook
5446,5461,Lead Hook
5521,5534,Lead Hook
5594,5609,Lead Hook
5667,5682,Lead Hook
5741,5758,Lead Hook
5819,5836,Lead Hook
5894,5911,Lead Hook
5976,5992,Lead Hook
6052,6070,Lead Hook
6128,6142,Lead Hook
6200,6215,Lead Hook
6285,6306,Lead Hook
6381,6398,Lead Hook
6468,6484,Lead Hook
6566,6588,Lead Hook
6674,6689,Lead Hook
6743,6758,Lead Hook
6816,6831,Lead Hook
6888,6903,Lead Hook
6966,6983,Lead Hook
7048,7068,Lead Hook
7128,7145,Lead Hook
7208,7222,Lead Hook
7285,7298,Lead Hook
7394,7409,Lead Hook
7467,7485,Lead Hook
7546,7561,Lead Hook
7618,7635,Lead Hook
7694,7709,Lead Hook
7906,7927,Rear Hook
8110,8128,Rear Hook
8183,8205,Rear Hook
8247,8268,Rear Hook
8306,8322,Rear Hook
8368,8385,Rear Hook
8447,8466,Rear Hook
8514,8531,Rear Hook
8576,8596,Rear Hook
8639,8657,Rear Hook
8702,8721,Rear Hook
8765,8782,Rear Hook
8824,8842,Rear Hook
8886,8905,Rear Hook
8949,8969,Rear Hook
9011,9029,Rear Hook
9070,9089,Rear Hook
9167,9189,Lead Hook
9203,9223,Lead Hook
9232,9256,Rear Hook
9283,9301,Lead Hook
9318,9339,Lead Hook
9358,9381,Rear Hook
9419,9436,Lead Hook
9460,9480,Lead Hook
9506,9528,Rear Hook
9559,9574,Lead Hook
9580,9596,Lead Hook
9611,9633,Rear Hook
9657,9675,Lead Hook
9681,9703,Lead Hook
9717,9734,Rear Hook
9792,9807,Lead Hook
9820,9836,Lead Hook
9850,9874,Rear Hook
9949,9966,Lead Hook
9973,9988,Lead Hook
9994,10014,Rear Hook
10047,10063,Lead Hook
10077,10091,Lead Hook
10095,10117,Rear Hook
10200,10216,Lead Hook
10224,10238,Lead Hook
10242,10260,Rear Hook
10322,10336,Lead Hook
10342,10356,Lead Hook
10358,10377,Rear Hook
10442,10457,Lead Hook
10461,10475,Lead Hook
10476,10492,Rear Hook
10550,10565,Lead Hook
10570,10584,Lead Hook
10588,10608,Rear Hook
10676,10691,Lead Hook
10698,10712,Lead Hook
10715,10737,Rear Hook
10777,10792,Lead Hook
10799,10813,Lead Hook
10838,10855,Rear Hook
12831,12851,Lead Hook
12844,12869,Rear Hook
12845,12869,Rear Hook
13054,13076,Lead Hook
13070,13093,Rear Hook
13147,13162,Lead Hook
13158,13172,Rear Hook
13217,13232,Lead Hook
13228,13243,Rear Hook
13289,13304,Lead Hook
13300,13314,Rear Hook
13361,13376,Lead Hook
13371,13386,Rear Hook
13440,13453,Lead Hook
13448,13464,Rear Hook
13511,13527,Lead Hook
13521,13537,Rear Hook
13580,13594,Lead Hook
13590,13606,Rear Hook
13659,13675,Lead Hook
13669,13685,Rear Hook
13735,13749,Lead Hook
13746,13760,Rear Hook
13817,13833,Lead Hook
13828,13844,Rear Hook
13893,13909,Lead Hook
13904,13920,Rear Hook
13970,13985,Lead Hook
13980,13995,Rear Hook
14041,14055,Lead Hook
14051,14064,Rear Hook
14105,14119,Lead Hook
14115,14128,Rear Hook
14169,14181,Lead Hook
14178,14193,Rear Hook
14232,14247,Lead Hook
14242,14257,Rear Hook
14296,14310,Lead Hook
14305,14320,Rear Hook
14363,14376,Lead Hook
14372,14387,Rear Hook
14428,14438,Lead Hook
14436,14450,Rear Hook
14493,14507,Lead Hook
14505,14521,Rear Hook
14705,14727,Lead Uppercut
14778,14799,Lead Uppercut
14849,14869,Lead Uppercut
15165,15184,Lead Uppercut
15213,15236,Lead Uppercut
15279,15299,Lead Uppercut
15340,15357,Lead Uppercut
15401,15421,Lead Hook
15448,15468,Lead Uppercut
15474,15492,Rear Uppercut
15526,15546,Lead Uppercut
15555,15572,Rear Uppercut
15615,15633,Lead Uppercut
15641,15658,Rear Uppercut
15707,15726,Lead Uppercut
15730,15747,Rear Uppercut
15798,15817,Lead Uppercut
15812,15829,Rear Uppercut
15891,15903,Lead Uppercut
15901,15916,Rear Uppercut
15960,15973,Lead Uppercut
15971,15984,Rear Uppercut
