start_frame,end_frame,class
6437,6449,Jab
6452,6460,Rear Hook
6463,6470,Lead hook
6532,6544,Jab
6546,6558,Rear Hook
6561,6568,Jab
6806,6814,Jab
6815,6820,Rear Hook
6821,6828,Lead hook
6881,6889,Jab
6890,6896,Rear Hook
6897,6905,Jab
7123,7130,Jab
7132,7139,Cross
7141,7148,Jab
7150,7156,Cross
7159,7166,Jab
7169,7175,Cross
7177,7184,Jab
7186,7193,Cross
7194,7202,Jab
7204,7209,Cross
7211,7219,Jab
7221,7226,Cross
7229,7235,Jab
7238,7244,Cross
7246,7253,Jab
7255,7261,Cross
7264,7271,Jab
7658,7663,Cross
7666,7673,Jab
7675,7680,Cross
7683,7689,Jab
7691,7696,Cross
7699,7706,Jab
7708,7713,Cross
7715,7722,Jab
7724,7730,Cross
7732,7739,Jab
7741,7746,Cross
7748,7754,Jab
7756,7762,Cross
7764,7770,Jab
7773,7778,Cross
7780,7787,Jab
7789,7794,Cross
7796,7804,Jab
7805,7811,Cross
7813,7820,Jab
7822,7827,Cross
7829,7836,Jab
7837,7842,Cross
7882,7892,Jab
7895,7903,Rear Hook
7907,7914,Lead hook
7995,8004,Jab
8006,8013,Rear Hook
8016,8022,Lead hook
8069,8079,Jab
8080,8087,Rear Hook
8088,8095,Lead hook
8207,8215,Rear Uppercut
8308,8315,Rear Uppercut
8362,8386,Rear Uppercut
8387,8398,Lead Uppercut
8458,8467,Jab
8468,8469,Rear Uppercut
8475,8481,Lead Uppercut
8552,8559,Jab
8560,8566,Cross
8569,8576,Jab
8577,8583,Cross
8585,8593,Jab
8595,8600,Cross
8602,8610,Jab
8612,8617,Cross
8620,8629,Jab
8674,8684,Lead hook
8736,8746,Lead hook
8762,8769,Rear Uppercut
8776,8782,Rear Uppercut
8791,8798,Rear Uppercut
8860,8868,Lead Uppercut
8969,8977,Lead Uppercut
9053,9060,Jab
9063,9069,Cross
9071,9078,Jab
9079,9085,Cross
9088,9095,Jab
9097,9103,Cross
9106,9113,Jab
9115,9121,Cross
9123,9130,Jab
9132,9137,Cross
9140,9146,Jab
9149,9154,Cross
9157,9162,Jab
9165,9171,Cross
9172,9180,Jab
9182,9187,Cross
9190,9197,Jab
9199,9204,Cross
9207,9213,Jab
9216,9221,Cross
9223,9230,Jab
9232,9237,Cross
9239,9247,Jab
9249,9253,Cross
9256,9263,Jab
9264,9269,Cross
9309,9316,Jab
9317,9322,Rear Hook
9413,9419,Lead hook
9421,9425,Rear Hook
9426,9431,Lead hook
9504,9512,Jab
9512,9518,Rear Hook
9519,9524,Lead hook
9546,9554,Jab
9574,9582,Cross
9637,9645,Jab
9646,9651,Rear Hook
9653,9658,Lead Uppercut
9731,9738,Jab
9739,9744,Rear Hook
9745,9751,Lead Uppercut
9828,9836,Jab
9837,9841,Rear Hook
9843,9847,Lead Uppercut
9927,9935,Jab
9936,9941,Rear Hook
9943,9948,Lead hook
10043,10051,Jab
10052,10056,Rear Hook
10058,10062,Lead hook
10203,10210,Jab
10211,10216,Rear Hook
10217,10221,Lead hook
10314,10323,Jab
10324,10328,Rear Hook
10330,10334,Lead Uppercut
10362,10370,Jab
10404,10410,Jab
10411,10416,Rear Hook
10417,10421,Lead hook
10514,10522,Jab
10523,10528,Rear Hook
10530,10534,Lead hook
10596,10603,Jab
10605,10609,Rear Hook
10611,10615,Lead hook
10677,10685,Jab
10687,10690,Rear Hook
10692,10697,Lead hook
12179,12189,Jab
12192,12199,Rear Uppercut
12203,12210,Lead Uppercut
12212,12220,Rear Uppercut
12223,12233,Lead hook
12293,12303,Jab
12305,12311,Rear Uppercut
12316,12325,Lead Uppercut
12325,12332,Rear Uppercut
12337,12346,Lead hook
12378,12388,Jab
12402,12413,Jab
12415,12421,Rear Uppercut
12426,12434,Lead Uppercut
12435,12441,Rear Uppercut
12447,12454,Lead hook
12485,12497,Jab
